unique_id,ds,y
SKU_02,2023-11-11,102.0
SKU_02,2023-11-12,129.0
SKU_02,2023-11-13,731.0
SKU_02,2023-11-14,719.0
SKU_02,2023-11-15,128.0
SKU_02,2023-11-16,566.0
SKU_02,2023-11-17,559.0
SKU_02,2023-11-18,93.0
SKU_02,2023-11-19,116.0
SKU_02,2023-11-20,490.0
SKU_02,2023-11-21,673.0
SKU_02,2023-11-22,772.0
SKU_02,2023-11-23,562.0
SKU_02,2023-11-24,724.0
SKU_02,2023-11-25,123.0
SKU_02,2023-11-26,115.0
SKU_02,2023-11-27,556.0
SKU_02,2023-11-28,484.0
SKU_02,2023-11-29,480.0
SKU_02,2023-11-30,482.0
SKU_02,2023-12-01,429.0
SKU_02,2023-12-02,97.0
SKU_02,2023-12-03,40.0
SKU_02,2023-12-04,473.0
SKU_02,2023-12-05,447.0
SKU_02,2023-12-06,421.0
SKU_02,2023-12-07,402.0
SKU_02,2023-12-08,333.0
SKU_02,2023-12-09,83.0
SKU_02,2023-12-10,48.0
SKU_02,2023-12-11,552.0
SKU_02,2023-12-12,441.0
SKU_02,2023-12-13,471.0
SKU_02,2023-12-14,411.0
SKU_02,2023-12-15,166.0
SKU_02,2023-12-16,0.0
SKU_02,2023-12-17,0.0
SKU_02,2023-12-18,0.0
SKU_02,2023-12-19,0.0
SKU_02,2023-12-20,0.0
SKU_02,2023-12-21,9.0
SKU_02,2023-12-22,51.0
SKU_02,2023-12-23,203.0
SKU_02,2023-12-24,208.0
SKU_02,2023-12-25,12.0
SKU_02,2023-12-26,340.0
SKU_02,2023-12-27,204.0
SKU_02,2023-12-28,167.0
SKU_02,2023-12-29,183.0
SKU_02,2023-12-30,52.0
SKU_02,2023-12-31,77.0
SKU_02,2024-01-01,31.0
SKU_02,2024-01-02,465.0
SKU_02,2024-01-03,565.0
SKU_02,2024-01-04,608.0
SKU_02,2024-01-05,587.0
SKU_02,2024-01-06,55.0
SKU_02,2024-01-07,0.0
SKU_02,2024-01-08,874.0
SKU_02,2024-01-09,801.0
SKU_02,2024-01-10,765.0
SKU_02,2024-01-11,702.0
SKU_02,2024-01-12,613.0
SKU_02,2024-01-13,121.0
SKU_02,2024-01-14,96.0
SKU_02,2024-01-15,854.0
SKU_02,2024-01-16,573.0
SKU_02,2024-01-17,700.0
SKU_02,2024-01-18,522.0
SKU_02,2024-01-19,481.0
SKU_02,2024-01-20,99.0
SKU_02,2024-01-21,85.0
SKU_02,2024-01-22,573.0
SKU_02,2024-01-23,511.0
SKU_02,2024-01-24,413.0
SKU_02,2024-01-25,577.0
SKU_02,2024-01-26,625.0
SKU_02,2024-01-27,262.0
SKU_02,2024-01-28,125.0
SKU_02,2024-01-29,686.0
SKU_02,2024-01-30,537.0
SKU_02,2024-01-31,548.0
SKU_02,2024-02-01,559.0
SKU_02,2024-02-02,491.0
SKU_02,2024-02-03,135.0
SKU_02,2024-02-04,120.0
SKU_02,2024-02-05,622.0
SKU_02,2024-02-06,597.0
SKU_02,2024-02-07,547.0
SKU_02,2024-02-08,522.0
SKU_02,2024-02-09,421.0
SKU_02,2024-02-10,72.0
SKU_02,2024-02-11,25.0
SKU_02,2024-02-12,141.0
SKU_02,2024-02-13,189.0
SKU_02,2024-02-14,420.0
SKU_02,2024-02-15,438.0
SKU_02,2024-02-16,405.0
SKU_02,2024-02-17,86.0
SKU_02,2024-02-18,73.0
SKU_02,2024-02-19,524.0
SKU_02,2024-02-20,708.0
SKU_02,2024-02-21,575.0
SKU_02,2024-02-22,549.0
SKU_02,2024-02-23,469.0
SKU_02,2024-02-24,130.0
SKU_02,2024-02-25,88.0
SKU_02,2024-02-26,548.0
SKU_02,2024-02-27,590.0
SKU_02,2024-02-28,560.0
SKU_02,2024-02-29,480.0
SKU_02,2024-03-01,588.0
SKU_02,2024-03-02,93.0
SKU_02,2024-03-03,100.0
SKU_02,2024-03-04,942.0
SKU_02,2024-03-05,578.0
SKU_02,2024-03-06,535.0
SKU_02,2024-03-07,746.0
SKU_02,2024-03-08,663.0
SKU_02,2024-03-09,72.0
SKU_02,2024-03-10,82.0
SKU_02,2024-03-11,524.0
SKU_02,2024-03-12,550.0
SKU_02,2024-03-13,546.0
SKU_02,2024-03-14,506.0
SKU_02,2024-03-15,462.0
SKU_02,2024-03-16,100.0
SKU_02,2024-03-17,74.0
SKU_02,2024-03-18,441.0
SKU_02,2024-03-19,415.0
SKU_02,2024-03-20,381.0
SKU_02,2024-03-21,346.0
SKU_02,2024-03-22,467.0
SKU_02,2024-03-23,75.0
SKU_02,2024-03-24,71.0
SKU_02,2024-03-25,500.0
SKU_02,2024-03-26,421.0
SKU_02,2024-03-27,491.0
SKU_02,2024-03-28,409.0
SKU_02,2024-03-29,70.0
SKU_02,2024-03-30,42.0
SKU_02,2024-03-31,47.0
SKU_02,2024-04-01,510.0
SKU_02,2024-04-02,527.0
SKU_02,2024-04-03,446.0
SKU_02,2024-04-04,512.0
SKU_02,2024-04-05,345.0
SKU_02,2024-04-06,92.0
SKU_02,2024-04-07,63.0
SKU_02,2024-04-08,486.0
SKU_02,2024-04-09,456.0
SKU_02,2024-04-10,416.0
SKU_02,2024-04-11,446.0
SKU_02,2024-04-12,452.0
SKU_02,2024-04-13,89.0
SKU_02,2024-04-14,87.0
SKU_02,2024-04-15,492.0
SKU_02,2024-04-16,419.0
SKU_02,2024-04-17,489.0
SKU_02,2024-04-18,400.0
SKU_02,2024-04-19,414.0
SKU_02,2024-04-20,74.0
SKU_02,2024-04-21,46.0
SKU_02,2024-04-22,478.0
SKU_02,2024-04-23,514.0
SKU_02,2024-04-24,448.0
SKU_02,2024-04-25,415.0
SKU_02,2024-04-26,492.0
SKU_02,2024-04-27,88.0
SKU_02,2024-04-28,51.0
SKU_02,2024-04-29,496.0
SKU_02,2024-04-30,493.0
SKU_02,2024-05-01,123.0
SKU_02,2024-05-02,577.0
SKU_02,2024-05-03,571.0
SKU_02,2024-05-04,77.0
SKU_02,2024-05-05,105.0
SKU_02,2024-05-06,732.0
SKU_02,2024-05-07,489.0
SKU_02,2024-05-08,453.0
SKU_02,2024-05-09,462.0
SKU_02,2024-05-10,412.0
SKU_02,2024-05-11,73.0
SKU_02,2024-05-12,65.0
SKU_02,2024-05-13,592.0
SKU_02,2024-05-14,356.0
SKU_02,2024-05-15,368.0
SKU_02,2024-05-16,326.0
SKU_02,2024-05-17,287.0
SKU_02,2024-05-18,34.0
SKU_02,2024-05-19,36.0
SKU_02,2024-05-20,458.0
SKU_02,2024-05-21,393.0
SKU_02,2024-05-22,393.0
SKU_02,2024-05-23,436.0
SKU_02,2024-05-24,424.0
SKU_02,2024-05-25,81.0
SKU_02,2024-05-26,59.0
SKU_02,2024-05-27,434.0
SKU_02,2024-05-28,463.0
SKU_02,2024-05-29,424.0
SKU_02,2024-05-30,68.0
SKU_02,2024-05-31,262.0
SKU_02,2024-06-01,54.0
SKU_02,2024-06-02,53.0
SKU_02,2024-06-03,632.0
SKU_02,2024-06-04,554.0
SKU_02,2024-06-05,558.0
SKU_02,2024-06-06,558.0
SKU_02,2024-06-07,459.0
SKU_02,2024-06-08,76.0
SKU_02,2024-06-09,56.0
SKU_02,2024-06-10,475.0
SKU_02,2024-06-11,593.0
SKU_02,2024-06-12,469.0
SKU_02,2024-06-13,421.0
SKU_02,2024-06-14,383.0
SKU_02,2024-06-15,70.0
SKU_02,2024-06-16,85.0
SKU_02,2024-06-17,498.0
SKU_02,2024-06-18,455.0
SKU_02,2024-06-19,440.0
SKU_02,2024-06-20,457.0
SKU_02,2024-06-21,340.0
SKU_02,2024-06-22,44.0
SKU_02,2024-06-23,41.0
SKU_02,2024-06-24,453.0
SKU_02,2024-06-25,566.0
SKU_02,2024-06-26,430.0
SKU_02,2024-06-27,378.0
SKU_02,2024-06-28,361.0
SKU_02,2024-06-29,56.0
SKU_02,2024-06-30,49.0
SKU_02,2024-07-01,424.0
SKU_02,2024-07-02,407.0
SKU_02,2024-07-03,436.0
SKU_02,2024-07-04,468.0
SKU_02,2024-07-05,403.0
SKU_02,2024-07-06,87.0
SKU_02,2024-07-07,61.0
SKU_02,2024-07-08,481.0
SKU_02,2024-07-09,366.0
SKU_02,2024-07-10,442.0
SKU_02,2024-07-11,497.0
SKU_02,2024-07-12,440.0
SKU_02,2024-07-13,66.0
SKU_02,2024-07-14,66.0
SKU_02,2024-07-15,470.0
SKU_02,2024-07-16,553.0
SKU_02,2024-07-17,578.0
SKU_02,2024-07-18,758.0
SKU_02,2024-07-19,390.0
SKU_02,2024-07-20,108.0
SKU_02,2024-07-21,52.0
SKU_02,2024-07-22,462.0
SKU_02,2024-07-23,676.0
SKU_02,2024-07-24,593.0
SKU_02,2024-07-25,562.0
SKU_02,2024-07-26,494.0
SKU_02,2024-07-27,114.0
SKU_02,2024-07-28,63.0
SKU_02,2024-07-29,645.0
SKU_02,2024-07-30,621.0
SKU_02,2024-07-31,559.0
SKU_02,2024-08-01,544.0
SKU_02,2024-08-02,538.0
SKU_02,2024-08-03,192.0
SKU_02,2024-08-04,64.0
SKU_02,2024-08-05,560.0
SKU_02,2024-08-06,627.0
SKU_02,2024-08-07,638.0
SKU_02,2024-08-08,533.0
SKU_02,2024-08-09,495.0
SKU_02,2024-08-10,122.0
SKU_02,2024-08-11,79.0
SKU_02,2024-08-12,658.0
SKU_02,2024-08-13,621.0
SKU_02,2024-08-14,474.0
SKU_02,2024-08-15,470.0
SKU_02,2024-08-16,397.0
SKU_02,2024-08-17,82.0
SKU_02,2024-08-18,77.0
SKU_02,2024-08-19,503.0
SKU_02,2024-08-20,569.0
SKU_02,2024-08-21,491.0
SKU_02,2024-08-22,488.0
SKU_02,2024-08-23,383.0
SKU_02,2024-08-24,72.0
SKU_02,2024-08-25,51.0
SKU_02,2024-08-26,603.0
SKU_02,2024-08-27,509.0
SKU_02,2024-08-28,485.0
SKU_02,2024-08-29,356.0
SKU_02,2024-08-30,315.0
SKU_02,2024-08-31,44.0
SKU_02,2024-09-01,29.0
SKU_02,2024-09-02,350.0
SKU_02,2024-09-03,497.0
SKU_02,2024-09-04,653.0
SKU_02,2024-09-05,468.0
SKU_02,2024-09-06,461.0
SKU_02,2024-09-07,57.0
SKU_02,2024-09-08,43.0
SKU_02,2024-09-09,519.0
SKU_02,2024-09-10,452.0
SKU_02,2024-09-11,494.0
SKU_02,2024-09-12,481.0
SKU_02,2024-09-13,426.0
SKU_02,2024-09-14,60.0
SKU_02,2024-09-15,61.0
SKU_02,2024-09-16,443.0
SKU_02,2024-09-17,514.0
SKU_02,2024-09-18,589.0
SKU_03,2023-01-02,104.0
SKU_03,2023-01-03,81.0
SKU_03,2023-01-04,108.0
SKU_03,2023-01-05,159.0
SKU_03,2023-01-06,108.0
SKU_03,2023-01-07,12.0
SKU_03,2023-01-08,40.0
SKU_03,2023-01-09,188.0
SKU_03,2023-01-10,178.0
SKU_03,2023-01-11,168.0
SKU_03,2023-01-12,154.0
SKU_03,2023-01-13,133.0
SKU_03,2023-01-14,14.0
SKU_03,2023-01-15,17.0
SKU_03,2023-01-16,142.0
SKU_03,2023-01-17,179.0
SKU_03,2023-01-18,121.0
SKU_03,2023-01-19,149.0
SKU_03,2023-01-20,132.0
SKU_03,2023-01-21,19.0
SKU_03,2023-01-22,24.0
SKU_03,2023-01-23,135.0
SKU_03,2023-01-24,108.0
SKU_03,2023-01-25,104.0
SKU_03,2023-01-26,166.0
SKU_03,2023-01-27,159.0
SKU_03,2023-01-28,70.0
SKU_03,2023-01-29,23.0
SKU_03,2023-01-30,97.0
SKU_03,2023-01-31,121.0
SKU_03,2023-02-01,173.0
SKU_03,2023-02-02,131.0
SKU_03,2023-02-03,127.0
SKU_03,2023-02-04,32.0
SKU_03,2023-02-05,28.0
SKU_03,2023-02-06,190.0
SKU_03,2023-02-07,152.0
SKU_03,2023-02-08,114.0
SKU_03,2023-02-09,105.0
SKU_03,2023-02-10,146.0
SKU_03,2023-02-11,10.0
SKU_03,2023-02-12,14.0
SKU_03,2023-02-13,174.0
SKU_03,2023-02-14,127.0
SKU_03,2023-02-15,173.0
SKU_03,2023-02-16,135.0
SKU_03,2023-02-17,88.0
SKU_03,2023-02-18,10.0
SKU_03,2023-02-19,7.0
SKU_03,2023-02-20,58.0
SKU_03,2023-02-21,20.0
SKU_03,2023-02-22,78.0
SKU_03,2023-02-23,97.0
SKU_03,2023-02-24,64.0
SKU_03,2023-02-25,13.0
SKU_03,2023-02-26,25.0
SKU_03,2023-02-27,123.0
SKU_03,2023-02-28,91.0
SKU_03,2023-03-01,125.0
SKU_03,2023-03-02,133.0
SKU_03,2023-03-03,110.0
SKU_03,2023-03-04,9.0
SKU_03,2023-03-05,21.0
SKU_03,2023-03-06,142.0
SKU_03,2023-03-07,156.0
SKU_03,2023-03-08,105.0
SKU_03,2023-03-09,138.0
SKU_03,2023-03-10,138.0
SKU_03,2023-03-11,12.0
SKU_03,2023-03-12,6.0
SKU_03,2023-03-13,154.0
SKU_03,2023-03-14,108.0
SKU_03,2023-03-15,154.0
SKU_03,2023-03-16,111.0
SKU_03,2023-03-17,98.0
SKU_03,2023-03-18,12.0
SKU_03,2023-03-19,15.0
SKU_03,2023-03-20,114.0
SKU_03,2023-03-21,124.0
SKU_03,2023-03-22,111.0
SKU_03,2023-03-23,81.0
SKU_03,2023-03-24,82.0
SKU_03,2023-03-25,18.0
SKU_03,2023-03-26,15.0
SKU_03,2023-03-27,123.0
SKU_03,2023-03-28,123.0
SKU_03,2023-03-29,125.0
SKU_03,2023-03-30,94.0
SKU_03,2023-03-31,108.0
SKU_03,2023-04-01,14.0
SKU_03,2023-04-02,15.0
SKU_03,2023-04-03,119.0
SKU_03,2023-04-04,122.0
SKU_03,2023-04-05,82.0
SKU_03,2023-04-06,66.0
SKU_03,2023-04-07,13.0
SKU_03,2023-04-08,9.0
SKU_03,2023-04-09,27.0
SKU_03,2023-04-10,73.0
SKU_03,2023-04-11,165.0
SKU_03,2023-04-12,135.0
SKU_03,2023-04-13,145.0
SKU_03,2023-04-14,134.0
SKU_03,2023-04-15,12.0
SKU_03,2023-04-16,9.0
SKU_03,2023-04-17,126.0
SKU_03,2023-04-18,70.0
SKU_03,2023-04-19,125.0
SKU_03,2023-04-20,114.0
SKU_03,2023-04-21,3.0
SKU_03,2023-04-22,3.0
SKU_03,2023-04-23,18.0
SKU_03,2023-04-24,113.0
SKU_03,2023-04-25,123.0
SKU_03,2023-04-26,145.0
SKU_03,2023-04-27,96.0
SKU_03,2023-04-28,112.0
SKU_03,2023-04-29,10.0
SKU_03,2023-04-30,5.0
SKU_03,2023-05-01,36.0
SKU_03,2023-05-02,128.0
SKU_03,2023-05-03,118.0
SKU_03,2023-05-04,116.0
SKU_03,2023-05-05,114.0
SKU_03,2023-05-06,20.0
SKU_03,2023-05-07,12.0
SKU_03,2023-05-08,176.0
SKU_03,2023-05-09,129.0
SKU_03,2023-05-10,96.0
SKU_03,2023-05-11,123.0
SKU_03,2023-05-12,146.0
SKU_03,2023-05-13,10.0
SKU_03,2023-05-14,25.0
SKU_03,2023-05-15,163.0
SKU_03,2023-05-16,114.0
SKU_03,2023-05-17,93.0
SKU_03,2023-05-18,111.0
SKU_03,2023-05-19,104.0
SKU_03,2023-05-20,18.0
SKU_03,2023-05-21,19.0
SKU_03,2023-05-22,131.0
SKU_03,2023-05-23,153.0
SKU_03,2023-05-24,108.0
SKU_03,2023-05-25,92.0
SKU_03,2023-05-26,141.0
SKU_03,2023-05-27,19.0
SKU_03,2023-05-28,16.0
SKU_03,2023-05-29,95.0
SKU_03,2023-05-30,110.0
SKU_03,2023-05-31,119.0
SKU_03,2023-06-01,130.0
SKU_03,2023-06-02,114.0
SKU_03,2023-06-03,8.0
SKU_03,2023-06-04,18.0
SKU_03,2023-06-05,85.0
SKU_03,2023-06-06,109.0
SKU_03,2023-06-07,109.0
SKU_03,2023-06-08,13.0
SKU_03,2023-06-09,73.0
SKU_03,2023-06-10,10.0
SKU_03,2023-06-11,19.0
SKU_03,2023-06-12,114.0
SKU_03,2023-06-13,152.0
SKU_03,2023-06-14,176.0
SKU_03,2023-06-15,96.0
SKU_03,2023-06-16,118.0
SKU_03,2023-06-17,23.0
SKU_03,2023-06-18,16.0
SKU_03,2023-06-19,186.0
SKU_03,2023-06-20,141.0
SKU_03,2023-06-21,134.0
SKU_03,2023-06-22,104.0
SKU_03,2023-06-23,149.0
SKU_03,2023-06-24,29.0
SKU_03,2023-06-25,14.0
SKU_03,2023-06-26,98.0
SKU_03,2023-06-27,121.0
SKU_03,2023-06-28,117.0
SKU_03,2023-06-29,108.0
SKU_03,2023-06-30,139.0
SKU_03,2023-07-01,19.0
SKU_03,2023-07-02,30.0
SKU_03,2023-07-03,146.0
SKU_03,2023-07-04,131.0
SKU_03,2023-07-05,177.0
SKU_03,2023-07-06,104.0
SKU_03,2023-07-07,86.0
SKU_03,2023-07-08,14.0
SKU_03,2023-07-09,18.0
SKU_03,2023-07-10,148.0
SKU_03,2023-07-11,164.0
SKU_03,2023-07-12,114.0
SKU_03,2023-07-13,141.0
SKU_03,2023-07-14,102.0
SKU_03,2023-07-15,11.0
SKU_03,2023-07-16,13.0
SKU_03,2023-07-17,71.0
SKU_03,2023-07-18,104.0
SKU_03,2023-07-19,111.0
SKU_03,2023-07-20,104.0
SKU_03,2023-07-21,78.0
SKU_03,2023-07-22,21.0
SKU_03,2023-07-23,15.0
SKU_03,2023-07-24,112.0
SKU_03,2023-07-25,128.0
SKU_03,2023-07-26,125.0
SKU_03,2023-07-27,152.0
SKU_03,2023-07-28,138.0
SKU_03,2023-07-29,15.0
SKU_03,2023-07-30,14.0
SKU_03,2023-07-31,126.0
SKU_03,2023-08-01,151.0
SKU_03,2023-08-02,119.0
SKU_03,2023-08-03,123.0
SKU_03,2023-08-04,117.0
SKU_03,2023-08-05,7.0
SKU_03,2023-08-06,20.0
SKU_03,2023-08-07,147.0
SKU_03,2023-08-08,134.0
SKU_03,2023-08-09,130.0
SKU_03,2023-08-10,119.0
SKU_03,2023-08-11,115.0
SKU_03,2023-08-12,13.0
SKU_03,2023-08-13,17.0
SKU_03,2023-08-14,129.0
SKU_03,2023-08-15,176.0
SKU_03,2023-08-16,118.0
SKU_03,2023-08-17,123.0
SKU_03,2023-08-18,108.0
SKU_03,2023-08-19,10.0
SKU_03,2023-08-20,20.0
SKU_03,2023-08-21,106.0
SKU_03,2023-08-22,128.0
SKU_03,2023-08-23,147.0
SKU_03,2023-08-24,84.0
SKU_03,2023-08-25,79.0
SKU_03,2023-08-26,13.0
SKU_03,2023-08-27,10.0
SKU_03,2023-08-28,133.0
SKU_03,2023-08-29,108.0
SKU_03,2023-08-30,162.0
SKU_03,2023-08-31,139.0
SKU_03,2023-09-01,140.0
SKU_03,2023-09-02,9.0
SKU_03,2023-09-03,24.0
SKU_03,2023-09-04,155.0
SKU_03,2023-09-05,115.0
SKU_03,2023-09-06,85.0
SKU_03,2023-09-07,25.0
SKU_03,2023-09-08,68.0
SKU_03,2023-09-09,12.0
SKU_03,2023-09-10,32.0
SKU_03,2023-09-11,87.0
SKU_03,2023-09-12,107.0
SKU_03,2023-09-13,136.0
SKU_03,2023-09-14,121.0
SKU_03,2023-09-15,134.0
SKU_03,2023-09-16,11.0
SKU_03,2023-09-17,25.0
SKU_03,2023-09-18,165.0
SKU_03,2023-09-19,102.0
SKU_03,2023-09-20,93.0
SKU_03,2023-09-21,131.0
SKU_03,2023-09-22,140.0
SKU_03,2023-09-23,27.0
SKU_03,2023-09-24,35.0
SKU_03,2023-09-25,100.0
SKU_03,2023-09-26,139.0
SKU_03,2023-09-27,142.0
SKU_03,2023-09-28,79.0
SKU_03,2023-09-29,123.0
SKU_03,2023-09-30,17.0
SKU_03,2023-10-01,18.0
SKU_03,2023-10-02,130.0
SKU_03,2023-10-03,118.0
SKU_03,2023-10-04,106.0
SKU_03,2023-10-05,125.0
SKU_03,2023-10-06,113.0
SKU_03,2023-10-07,16.0
SKU_03,2023-10-08,15.0
SKU_03,2023-10-09,108.0
SKU_03,2023-10-10,52.0
SKU_03,2023-10-11,104.0
SKU_03,2023-10-12,8.0
SKU_03,2023-10-13,63.0
SKU_03,2023-10-14,15.0
SKU_03,2023-10-15,7.0
SKU_03,2023-10-16,142.0
SKU_03,2023-10-17,140.0
SKU_03,2023-10-18,131.0
SKU_03,2023-10-19,150.0
SKU_03,2023-10-20,87.0
SKU_03,2023-10-21,15.0
SKU_03,2023-10-22,24.0
SKU_03,2023-10-23,156.0
SKU_03,2023-10-24,107.0
SKU_03,2023-10-25,109.0
SKU_03,2023-10-26,115.0
SKU_03,2023-10-27,86.0
SKU_03,2023-10-28,20.0
SKU_03,2023-10-29,22.0
SKU_03,2023-10-30,119.0
SKU_03,2023-10-31,101.0
SKU_03,2023-11-01,152.0
SKU_03,2023-11-02,24.0
SKU_03,2023-11-03,112.0
SKU_03,2023-11-04,18.0
SKU_03,2023-11-05,8.0
SKU_03,2023-11-06,125.0
SKU_03,2023-11-07,174.0
SKU_03,2023-11-08,115.0
SKU_03,2023-11-09,146.0
SKU_03,2023-11-10,178.0
SKU_03,2023-11-11,13.0
SKU_03,2023-11-12,14.0
SKU_03,2023-11-13,145.0
SKU_03,2023-11-14,112.0
SKU_03,2023-11-15,36.0
SKU_03,2023-11-16,105.0
SKU_03,2023-11-17,64.0
SKU_03,2023-11-18,33.0
SKU_03,2023-11-19,6.0
SKU_03,2023-11-20,66.0
SKU_03,2023-11-21,80.0
SKU_03,2023-11-22,124.0
SKU_03,2023-11-23,135.0
SKU_03,2023-11-24,112.0
SKU_03,2023-11-25,38.0
SKU_03,2023-11-26,18.0
SKU_03,2023-11-27,140.0
SKU_03,2023-11-28,134.0
SKU_03,2023-11-29,110.0
SKU_03,2023-11-30,134.0
SKU_03,2023-12-01,94.0
SKU_03,2023-12-02,25.0
SKU_03,2023-12-03,28.0
SKU_03,2023-12-04,136.0
SKU_03,2023-12-05,106.0
SKU_03,2023-12-06,133.0
SKU_03,2023-12-07,115.0
SKU_03,2023-12-08,79.0
SKU_03,2023-12-09,23.0
SKU_03,2023-12-10,11.0
SKU_03,2023-12-11,179.0
SKU_03,2023-12-12,125.0
SKU_03,2023-12-13,103.0
SKU_03,2023-12-14,117.0
SKU_03,2023-12-15,28.0
SKU_03,2023-12-16,0.0
SKU_03,2023-12-17,0.0
SKU_03,2023-12-18,0.0
SKU_03,2023-12-19,0.0
SKU_03,2023-12-20,0.0
SKU_03,2023-12-21,3.0
SKU_03,2023-12-22,19.0
SKU_03,2023-12-23,44.0
SKU_03,2023-12-24,88.0
SKU_03,2023-12-25,4.0
SKU_03,2023-12-26,90.0
SKU_03,2023-12-27,31.0
SKU_03,2023-12-28,19.0
SKU_03,2023-12-29,29.0
SKU_03,2023-12-30,8.0
SKU_03,2023-12-31,13.0
SKU_03,2024-01-01,2.0
SKU_03,2024-01-02,110.0
SKU_03,2024-01-03,99.0
SKU_03,2024-01-04,85.0
SKU_03,2024-01-05,115.0
SKU_03,2024-01-06,10.0
SKU_03,2024-01-07,0.0
SKU_03,2024-01-08,226.0
SKU_03,2024-01-09,134.0
SKU_03,2024-01-10,127.0
SKU_03,2024-01-11,162.0
SKU_03,2024-01-12,106.0
SKU_03,2024-01-13,23.0
SKU_03,2024-01-14,32.0
SKU_03,2024-01-15,157.0
SKU_03,2024-01-16,128.0
SKU_03,2024-01-17,140.0
SKU_03,2024-01-18,130.0
SKU_03,2024-01-19,87.0
SKU_03,2024-01-20,24.0
SKU_03,2024-01-21,7.0
SKU_03,2024-01-22,99.0
SKU_03,2024-01-23,127.0
SKU_03,2024-01-24,120.0
SKU_03,2024-01-25,104.0
SKU_03,2024-01-26,109.0
SKU_03,2024-01-27,50.0
SKU_03,2024-01-28,19.0
SKU_03,2024-01-29,111.0
SKU_03,2024-01-30,126.0
SKU_03,2024-01-31,106.0
SKU_03,2024-02-01,146.0
SKU_03,2024-02-02,133.0
SKU_03,2024-02-03,21.0
SKU_03,2024-02-04,16.0
SKU_03,2024-02-05,134.0
SKU_03,2024-02-06,158.0
SKU_03,2024-02-07,71.0
SKU_03,2024-02-08,109.0
SKU_03,2024-02-09,67.0
SKU_03,2024-02-10,10.0
SKU_03,2024-02-11,9.0
SKU_03,2024-02-12,35.0
SKU_03,2024-02-13,19.0
SKU_03,2024-02-14,62.0
SKU_03,2024-02-15,120.0
SKU_03,2024-02-16,104.0
SKU_03,2024-02-17,45.0
SKU_03,2024-02-18,17.0
SKU_03,2024-02-19,136.0
SKU_03,2024-02-20,179.0
SKU_03,2024-02-21,138.0
SKU_03,2024-02-22,127.0
SKU_03,2024-02-23,85.0
SKU_03,2024-02-24,16.0
SKU_03,2024-02-25,22.0
SKU_03,2024-02-26,138.0
SKU_03,2024-02-27,138.0
SKU_03,2024-02-28,103.0
SKU_03,2024-02-29,124.0
SKU_03,2024-03-01,183.0
SKU_03,2024-03-02,24.0
SKU_03,2024-03-03,15.0
SKU_03,2024-03-04,129.0
SKU_03,2024-03-05,162.0
SKU_03,2024-03-06,96.0
SKU_03,2024-03-07,105.0
SKU_03,2024-03-08,103.0
SKU_03,2024-03-09,14.0
SKU_03,2024-03-10,13.0
SKU_03,2024-03-11,96.0
SKU_03,2024-03-12,88.0
SKU_03,2024-03-13,141.0
SKU_03,2024-03-14,106.0
SKU_03,2024-03-15,77.0
SKU_03,2024-03-16,17.0
SKU_03,2024-03-17,12.0
SKU_03,2024-03-18,94.0
SKU_03,2024-03-19,120.0
SKU_03,2024-03-20,125.0
SKU_03,2024-03-21,81.0
SKU_03,2024-03-22,111.0
SKU_03,2024-03-23,11.0
SKU_03,2024-03-24,12.0
SKU_03,2024-03-25,140.0
SKU_03,2024-03-26,88.0
SKU_03,2024-03-27,105.0
SKU_03,2024-03-28,93.0
SKU_03,2024-03-29,5.0
SKU_03,2024-03-30,12.0
SKU_03,2024-03-31,8.0
SKU_03,2024-04-01,140.0
SKU_03,2024-04-02,166.0
SKU_03,2024-04-03,101.0
SKU_03,2024-04-04,151.0
SKU_03,2024-04-05,99.0
SKU_03,2024-04-06,19.0
SKU_03,2024-04-07,12.0
SKU_03,2024-04-08,114.0
SKU_03,2024-04-09,116.0
SKU_03,2024-04-10,95.0
SKU_03,2024-04-11,140.0
SKU_03,2024-04-12,104.0
SKU_03,2024-04-13,11.0
SKU_03,2024-04-14,14.0
SKU_03,2024-04-15,143.0
SKU_03,2024-04-16,101.0
SKU_03,2024-04-17,109.0
SKU_03,2024-04-18,123.0
SKU_03,2024-04-19,104.0
SKU_03,2024-04-20,9.0
SKU_03,2024-04-21,8.0
SKU_03,2024-04-22,143.0
SKU_03,2024-04-23,103.0
SKU_03,2024-04-24,145.0
SKU_03,2024-04-25,98.0
SKU_03,2024-04-26,132.0
SKU_03,2024-04-27,13.0
SKU_03,2024-04-28,10.0
SKU_03,2024-04-29,101.0
SKU_03,2024-04-30,101.0
SKU_03,2024-05-01,20.0
SKU_03,2024-05-02,105.0
SKU_03,2024-05-03,133.0
SKU_03,2024-05-04,5.0
SKU_03,2024-05-05,20.0
SKU_03,2024-05-06,147.0
SKU_03,2024-05-07,81.0
SKU_03,2024-05-08,144.0
SKU_03,2024-05-09,134.0
SKU_03,2024-05-10,88.0
SKU_03,2024-05-11,17.0
SKU_03,2024-05-12,22.0
SKU_03,2024-05-13,112.0
SKU_03,2024-05-14,128.0
SKU_03,2024-05-15,140.0
SKU_03,2024-05-16,107.0
SKU_03,2024-05-17,116.0
SKU_03,2024-05-18,12.0
SKU_03,2024-05-19,14.0
SKU_03,2024-05-20,103.0
SKU_03,2024-05-21,108.0
SKU_03,2024-05-22,80.0
SKU_03,2024-05-23,81.0
SKU_03,2024-05-24,100.0
